"Operador","Año","Mes","Servicio","Categoría","Bloque","Tipo Conexión","Servicios Autorizados","Conexiones","Unidades","Consumo","Importe","Importe Cargo Fijo"
"ESPH","2019","Diciembre","Acueducto","Domiciliar","0-15","Medido","","34754","34754","299724","95312076.72","150940704.46"
"ESPH","2019","Diciembre","Alcantarillado","Domiciliar","0-15","Medido","","10883","10883","94753","20276101.36","28452561.78"
"ESPH","2019","Diciembre","Hidrantes","Domiciliar","0-15","Medido","","34754","34754","299724","7735879.6",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Domiciliar","0-15","Medido","","34754","34754","299724","4495762.41",""
"ESPH","2019","Diciembre","Acueducto","Domiciliar","16-25","Medido","","18821","18821","373819","138272756.53","81741813.85"
"ESPH","2019","Diciembre","Alcantarillado","Domiciliar","16-25","Medido","","5614","5614","111073","27580848.31","14677265.63"
"ESPH","2019","Diciembre","Hidrantes","Domiciliar","16-25","Medido","","18821","18821","373819","9648272.91",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Domiciliar","16-25","Medido","","18821","18821","373819","5607284.32",""
"ESPH","2019","Diciembre","Acueducto","Domiciliar","26-40","Medido","","9706","9706","303101","129777159.37","42154298.14"
"ESPH","2019","Diciembre","Alcantarillado","Domiciliar","26-40","Medido","","2444","2444","75408","22139142.48","6389604.06"
"ESPH","2019","Diciembre","Hidrantes","Domiciliar","26-40","Medido","","9706","9706","303101","7823037.07",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Domiciliar","26-40","Medido","","9706","9706","303101","4546515",""
"ESPH","2019","Diciembre","Acueducto","Domiciliar","41-60","Medido","","2611","2611","124548","60895866.54","11339879.71"
"ESPH","2019","Diciembre","Alcantarillado","Domiciliar","41-60","Medido","","489","489","23125","7829046.43","1278443.69"
"ESPH","2019","Diciembre","Hidrantes","Domiciliar","41-60","Medido","","2611","2611","124548","3214583.86",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Domiciliar","41-60","Medido","","2611","2611","124548","1868219.86",""
"ESPH","2019","Diciembre","Acueducto","Domiciliar","61-80","Medido","","527","527","35922","22209065.22","2288822.91"
"ESPH","2019","Diciembre","Alcantarillado","Domiciliar","61-80","Medido","","70","70","4698","1904641.3","183008.3"
"ESPH","2019","Diciembre","Hidrantes","Domiciliar","61-80","Medido","","527","527","35922","927146.82",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Domiciliar","61-80","Medido","","527","527","35922","538830",""
"ESPH","2019","Diciembre","Acueducto","Domiciliar","81-100","Medido","","142","142","12670","9773587.42","616722.68"
"ESPH","2019","Diciembre","Alcantarillado","Domiciliar","81-100","Medido","","13","13","1174","578949.23","33987.26"
"ESPH","2019","Diciembre","Hidrantes","Domiciliar","81-100","Medido","","142","142","12670","327012.7",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Domiciliar","81-100","Medido","","142","142","12670","190050",""
"ESPH","2019","Diciembre","Acueducto","Domiciliar","101-120","Medido","","69","69","7541","6503225.23","299675.11"
"ESPH","2019","Diciembre","Alcantarillado","Domiciliar","101-120","Medido","","9","9","1013","550382.67","23529.64"
"ESPH","2019","Diciembre","Hidrantes","Domiciliar","101-120","Medido","","69","69","7541","194633.21",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Domiciliar","101-120","Medido","","69","69","7541","113115",""
"ESPH","2019","Diciembre","Acueducto","Domiciliar","121 y mas","Medido","","112","112","39874","26982542.22","486429.16"
"ESPH","2019","Diciembre","Alcantarillado","Domiciliar","121 y mas","Medido","","13","13","3206","1361637.45","33987.26"
"ESPH","2019","Diciembre","Hidrantes","Domiciliar","121 y mas","Medido","","112","112","39874","1029139.29",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Domiciliar","121 y mas","Medido","","112","112","39874","598103.86",""
"ESPH","2019","Diciembre","Acueducto","Domiciliar","","Fijo","","69","69","","680629.04","82800"
"ESPH","2019","Diciembre","Alcantarillado","Domiciliar","","Fijo","","303","303","300","1947410.15","181800"
"ESPH","2019","Diciembre","Hidrantes","Domiciliar","","Fijo","","69","69","","42630.27",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Domiciliar","","Fijo","","69","69","","26565",""
"ESPH","2019","Diciembre","Acueducto","Empresarial","0-15","Medido","","4133","4133","18646","14189573.34","9058772.19"
"ESPH","2019","Diciembre","Alcantarillado","Empresarial","0-15","Medido","","2514","2514","10950","4905598.8","14132175.4"
