"Operador","Año","Mes","Servicio","Categoría","Bloque","Tipo Conexión","Servicios Autorizados","Conexiones","Unidades","Consumo","Importe","Importe Cargo Fijo"
"AyA","2020","Diciembre","Hidrantes","Domiciliar","0-15","Medido","","385378","449880","3330023","88443911",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","16-25","Medido","","145408","159472","3165596","82260263",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","26-40","Medido","","57214","62087","1929764","50295652",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","41-60","Medido","","11800","12477","597988","15555204",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","61-80","Medido","","2160","2339","164242","4276597",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","81-100","Medido","","698","722","66317","1690773",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","101-120","Medido","","313","344","38562","1025969",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar","121 y mas","Medido","","610","625","339626","8773184",""
"AyA","2020","Diciembre","Hidrantes","Domiciliar"," ","Fijo","","8647","9468","","5246737",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","0-15","Medido","","40894","40903","170352","4488834",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","16-25","Medido","","5444","5445","109563","2847603",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","26-40","Medido","","3714","3714","120345","3128910",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","41-60","Medido","","2069","2069","103186","2672454",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","61-80","Medido","","1024","1024","71923","1880290",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","81-100","Medido","","593","593","54201","1409311",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","101-120","Medido","","402","402","45274","1177124",""
"AyA","2020","Diciembre","Hidrantes","Empresarial","121 y mas","Medido","","1665","1665","716417","18626559",""
"AyA","2020","Diciembre","Hidrantes","Empresarial"," ","Fijo","","426","426","","236735",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","0-15","Medido","","3708","3708","14373","400091",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","16-25","Medido","","592","592","11985","311142",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","26-40","Medido","","534","534","17425","453050",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","41-60","Medido","","291","291","14394","374244",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","61-80","Medido","","184","184","13106","340756",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","81-100","Medido","","116","116","10602","275652",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","101-120","Medido","","91","91","10084","262184",""
"AyA","2020","Diciembre","Hidrantes","Preferencial","121 y mas","Medido","","408","408","211727","5504902",""
"AyA","2020","Diciembre","Hidrantes","Preferencial"," ","Fijo","","103","103","","56856",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","0-15","Medido","","958","958","4181","112646",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","16-25","Medido","","184","184","3782","100464",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","26-40","Medido","","184","184","5967","152724",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","41-60","Medido","","132","132","6497","171340",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","61-80","Medido","","93","93","6644","172744",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","81-100","Medido","","64","64","5665","147290",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","101-120","Medido","","42","42","4593","119418",""
"AyA","2020","Diciembre","Hidrantes","Gobierno","121 y mas","Medido","","309","309","223623","5814198",""
"AyA","2020","Diciembre","Hidrantes","Gobierno"," ","Fijo","","23","23","","12696",""
"AyA","2020","Diciembre","Hidrantes","Venta de Agua en Bloque","0-15","Medido","","6","6","","",""
"AyA","2020","Diciembre","Hidrantes","Venta de Agua en Bloque","121 y mas","Medido","","5","5","50560","",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","0-15","Medido","","385378","449880","3330023","10170749",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","16-25","Medido","","145408","159472","3165596","11051803",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","26-40","Medido","","57214","62087","1929764","8171454",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","41-60","Medido","","11800","12477","597988","3021863",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","61-80","Medido","","2160","2339","164242","1027315",""
"AyA","2020","Diciembre","Tarifa Hidrica","Domiciliar","81-100","Medido","","698","722","66317","493303",""
